surface	variant	severity	seed	fg_psnr	gain	comp_fg_psnr
network	copy	mild	1	15.0166	0.0000	15.0166
network	mask	mild	1	19.6488	4.6322	15.0166
maskcond	none	mild	1	16.6430	1.6264	15.0166
maskcond	concat	mild	1	19.8417	4.8251	15.0166
loss	bg	mild	1	8.2343	-6.7822	15.0166
loss	fg	mild	1	17.7647	2.7481	15.0166
fusion	noskip	mild	1	17.0299	2.0133	15.0166
fusion	skip	mild	1	17.7318	2.7152	15.0166
activation	identity	mild	1	16.1947	1.1781	15.0166
activation	relu	mild	1	19.0069	3.9904	15.0166
inputnorm	bg_whiten	mild	1	10.9680	-4.0486	15.0166
inputnorm	none	mild	1	20.4461	5.4295	15.0166
network	copy	medium	1	12.9168	0.0000	12.9168
network	mask	medium	1	17.8530	4.9362	12.9168
maskcond	none	medium	1	14.7478	1.8310	12.9168
maskcond	concat	medium	1	18.0804	5.1636	12.9168
loss	bg	medium	1	8.8264	-4.0905	12.9168
loss	fg	medium	1	18.9196	6.0028	12.9168
fusion	noskip	medium	1	16.9835	4.0667	12.9168
fusion	skip	medium	1	17.9044	4.9876	12.9168
activation	identity	medium	1	14.6323	1.7155	12.9168
activation	relu	medium	1	18.8970	5.9801	12.9168
inputnorm	bg_whiten	medium	1	10.8529	-2.0639	12.9168
inputnorm	none	medium	1	18.8804	5.9636	12.9168
network	copy	strong	1	11.1255	0.0000	11.1255
network	mask	strong	1	18.3179	7.1924	11.1255
maskcond	none	strong	1	13.8806	2.7551	11.1255
maskcond	concat	strong	1	17.2859	6.1604	11.1255
loss	bg	strong	1	9.5728	-1.5528	11.1255
loss	fg	strong	1	17.4432	6.3176	11.1255
fusion	noskip	strong	1	14.8935	3.7679	11.1255
fusion	skip	strong	1	17.9394	6.8139	11.1255
activation	identity	strong	1	13.3808	2.2552	11.1255
activation	relu	strong	1	17.8512	6.7257	11.1255
inputnorm	bg_whiten	strong	1	10.9592	-0.1663	11.1255
inputnorm	none	strong	1	16.4464	5.3209	11.1255
