surface	variant	hook	severity	seed	fg_psnr	gain	comp_fg_psnr	fg_mse	fg_ssim
network	copy	def get_network_config(): return {'arch'	mild	42	15.0166	0.0000	15.0166	0.044505	0.8477
network	blind	def get_network_config(): return {'arch'	mild	42	16.5640	1.5474	15.0166	0.031850	0.8644
network	mask	def get_network_config(): return {'arch'	mild	42	20.6768	5.6602	15.0166	0.010408	0.9013
network	copy	def get_network_config(): return {'arch'	medium	42	12.9168	0.0000	12.9168	0.070205	0.7961
network	blind	def get_network_config(): return {'arch'	medium	42	11.0961	-1.8208	12.9168	0.127934	0.5596
network	mask	def get_network_config(): return {'arch'	medium	42	19.4918	6.5750	12.9168	0.014022	0.8888
network	copy	def get_network_config(): return {'arch'	strong	42	11.1255	0.0000	11.1255	0.105861	0.7349
network	blind	def get_network_config(): return {'arch'	strong	42	13.9900	2.8645	11.1255	0.059050	0.7683
network	mask	def get_network_config(): return {'arch'	strong	42	18.5164	7.3908	11.1255	0.016942	0.8533
maskcond	none	def get_mask_conditioning(): return 'non	mild	42	16.5011	1.4845	15.0166	0.032460	0.8651
maskcond	concat	def get_mask_conditioning(): return 'con	mild	42	20.2481	5.2316	15.0166	0.011659	0.8974
maskcond	gated	def get_mask_conditioning(): return 'gat	mild	42	18.7411	3.7245	15.0166	0.017105	0.8889
maskcond	none	def get_mask_conditioning(): return 'non	medium	42	15.3063	2.3894	12.9168	0.043679	0.8181
maskcond	concat	def get_mask_conditioning(): return 'con	medium	42	19.4239	6.5071	12.9168	0.014340	0.8886
maskcond	gated	def get_mask_conditioning(): return 'gat	medium	42	19.3531	6.4363	12.9168	0.014648	0.8915
maskcond	none	def get_mask_conditioning(): return 'non	strong	42	14.1144	2.9888	11.1255	0.057716	0.7795
maskcond	concat	def get_mask_conditioning(): return 'con	strong	42	17.3481	6.2226	11.1255	0.022702	0.8471
maskcond	gated	def get_mask_conditioning(): return 'gat	strong	42	18.0501	6.9245	11.1255	0.019171	0.8535
normalization	instance	def get_normalization(): return 'instanc	mild	42	19.9199	4.9034	15.0166	0.013209	0.8689
normalization	none	def get_normalization(): return 'none' 	mild	42	21.0074	5.9908	15.0166	0.009893	0.9195
normalization	batch	def get_normalization(): return 'batch' 	mild	42	18.8252	3.8086	15.0166	0.018697	0.8854
normalization	rain	def get_normalization(): return 'rain' 	mild	42	20.8699	5.8533	15.0166	0.010095	0.9059
