task	surface	role	variant	severity	fg_psnr
cv-harmonization-region-norm	network	weak	copy	mild	15.0166
cv-harmonization-region-norm	network	weak	copy	medium	12.9168
cv-harmonization-region-norm	network	weak	copy	strong	11.1255
cv-harmonization-region-norm	network	strong	mask	mild	16.4188
cv-harmonization-region-norm	network	strong	mask	medium	18.9908
cv-harmonization-region-norm	network	strong	mask	strong	17.5037
cv-harmonization-mask-conditioning	maskcond	weak	none	mild	16.5140
cv-harmonization-mask-conditioning	maskcond	weak	none	medium	14.9761
cv-harmonization-mask-conditioning	maskcond	weak	none	strong	13.9529
cv-harmonization-mask-conditioning	maskcond	strong	concat	mild	20.2865
cv-harmonization-mask-conditioning	maskcond	strong	concat	medium	19.8127
cv-harmonization-mask-conditioning	maskcond	strong	concat	strong	16.1749
cv-harmonization-loss-region	loss	weak	bg	mild	12.7400
cv-harmonization-loss-region	loss	weak	bg	medium	11.7493
cv-harmonization-loss-region	loss	weak	bg	strong	9.1045
cv-harmonization-loss-region	loss	strong	fg	mild	20.1035
cv-harmonization-loss-region	loss	strong	fg	medium	18.0683
cv-harmonization-loss-region	loss	strong	fg	strong	17.3721
cv-harmonization-feature-fusion	fusion	weak	noskip	mild	18.7060
cv-harmonization-feature-fusion	fusion	weak	noskip	medium	17.2865
cv-harmonization-feature-fusion	fusion	weak	noskip	strong	15.3336
cv-harmonization-feature-fusion	fusion	strong	skip	mild	20.0432
cv-harmonization-feature-fusion	fusion	strong	skip	medium	19.0680
cv-harmonization-feature-fusion	fusion	strong	skip	strong	18.4745
cv-harmonization-activation	activation	weak	identity	mild	16.2719
cv-harmonization-activation	activation	weak	identity	medium	15.0486
cv-harmonization-activation	activation	weak	identity	strong	13.5948
cv-harmonization-activation	activation	strong	relu	mild	20.0444
cv-harmonization-activation	activation	strong	relu	medium	19.3828
cv-harmonization-activation	activation	strong	relu	strong	18.2852
cv-harmonization-input-norm	inputnorm	weak	bg_whiten	mild	11.1762
cv-harmonization-input-norm	inputnorm	weak	bg_whiten	medium	10.8495
cv-harmonization-input-norm	inputnorm	weak	bg_whiten	strong	10.8178
cv-harmonization-input-norm	inputnorm	strong	none	mild	20.1544
cv-harmonization-input-norm	inputnorm	strong	none	medium	19.6967
cv-harmonization-input-norm	inputnorm	strong	none	strong	17.9751
