arch|constant|wide	3.4267	209.5653	0.3906
arch|plain|wide	0.4226	11.2206	0.1795
arch|dim|wide	0.3264	6.2674	0.1507
loss|whole_l1|wide	0.5339	11.0414	0.2077
loss|unk_comp|wide	0.3655	7.8011	0.1760
decoder|bilinear|wide	0.3638	7.4663	0.1601
decoder|unet|wide	0.3739	8.7368	0.1669
skip|drop|wide	0.3813	9.3643	0.1713
skip|concat|wide	0.2781	4.3752	0.1329
attention|gap|wide	0.2941	4.5508	0.1345
attention|selfattn|wide	0.3003	5.9145	0.1483
dilation|single|wide	0.3172	5.4307	0.1498
dilation|aspp|wide	0.3303	6.9169	0.1589
norm|identity|wide	2.3268	265.1462	0.2539
norm|batch|wide	0.3449	7.5796	0.1594
upsampling|nearest|wide	0.3736	8.1069	0.1725
upsampling|learned|wide	0.3074	5.6855	0.1450
